,Rok,Miesiąc,sum_rain
0,1991,12,9524.800000000056
1,1969,4,5180.19999999999
2,1988,6,16695.599999999988
3,1989,9,6680.1000000000095
4,1990,11,11403.000000000085
5,1961,2,5979.400000000017
6,1953,7,8094.200000000008
7,2019,5,8452.100000000008
8,1975,5,8107.500000000014
9,2002,12,3492.6999999999794
10,2019,9,4505.699999999996
11,1963,10,10094.100000000051
12,1985,11,6040.400000000016
13,2004,1,6702.500000000016
14,2007,5,11313.800000000014
15,2014,11,3551.699999999982
16,2003,6,6847.900000000011
17,1964,4,6926.200000000003
18,1983,2,4937.499999999998
19,1979,1,7248.60000000001
20,2011,1,5586.900000000017
21,1982,12,8987.900000000007
22,1955,1,2756.699999999995
23,2005,1,9975.200000000033
24,2006,4,8595.100000000033
25,2008,5,8507.500000000016
26,1999,6,23011.899999999958
27,1981,1,5196.699999999994
28,1952,12,2254.7999999999975
29,1990,7,13069.800000000034
30,1961,10,4493.799999999999
31,1955,8,6308.199999999993
32,1953,3,1416.7999999999997
33,2014,5,22236.899999999965
34,1994,4,15584.80000000004
35,1966,4,7010.800000000015
36,1974,9,7120.79999999999
37,1960,4,5076.999999999995
38,1984,11,3823.699999999986
39,1971,1,2036.4999999999984
40,1961,3,7388.60000000001
41,1961,7,21257.400000000016
42,1998,3,8242.700000000006
43,1981,8,12414.700000000035
44,1958,5,8239.300000000007
45,1963,3,3651.199999999989
46,1962,7,15549.60000000005
47,1990,10,5266.999999999999
48,1964,8,20117.89999999996
49,1980,8,10123.700000000035
50,1960,10,7801.0999999999985
51,1956,2,4211.100000000006
52,2006,8,27190.699999999997
53,2006,6,15034.300000000036
54,1962,1,6559.400000000033
55,1984,12,3109.3999999999896
56,1972,5,10530.900000000001
57,1954,6,5021.299999999999
58,1953,4,2096.9000000000005
59,2003,12,7598.600000000024
60,2006,2,5826.300000000031
61,1998,7,16998.299999999996
62,1976,6,5826.300000000009
63,1967,3,6842.000000000005
64,1972,9,9876.60000000001
65,1974,3,840.3000000000013
66,1957,12,3985.1999999999953
